"Do.you.celebrate.Christmas.","What.do.you.typically.do.on.Christmas..Select.all.that.apply.","When.you..celebrate.Christmas...is.the.celebration.larger.on.the.24th.or.25th.of.December.","Do.you.attend.religious.service.on.Christmas.","When.you.were.under.18..did.you.receive.gifts.from.your.parents.for.Christmas.","If.you.answered...Yes..and.they.claimed.they.were.from.Santa..to.the.previous.question..at.what.age.did.you.realize.Santa.wasn.t.real.","Which.of.the.following.desserts.candies.do.you.consume.on.Christmas.","Which.of.the.following.beverages.do.you.consume.on.Christmas.","Which.of.the.following.foods.do.you.consume.on.Christmas.","Describe.Christmas.in.three.words","What.do.you.typically.do.on.Christmas..Select.all.that.apply..1","When.you.were.under.18..did.you.receive.gifts.from.your.parents.for.Christmas..1","If.you.answered...Yes..and.they.claimed.they.were.from.Santa..to.the.previous.question..at.what.age.did.you.realize.Santa.wasn.t.real..1","Describe.Christmas.in.three.words.1","What.is.your.gender.","What.is.your.age.group.","How.would.you.describe.your.religion.","Do.you.attend.religious.services.regularly.","How.would.you.describe.your.religion.before.you.were.18.","How.frequently.did.you.attend.religious.services.before.you.were.18.","Which.region.of.the.US.do.you.live.in."
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, and they claimed they were from Santa",7,"Candy Canes;Cookies;Gingerbread;Pie (any);Pie (apple);Pie (pumpkin)","Apple cider;Champagne;Eggnog","Bread rolls;Chicken;Ham;Macaroni and cheese;Mashed potatoes","giving food winter","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, and they claimed they were from Santa",9,"Cookies;Pie (any);Pie (apple);Pie (pumpkin)","Apple cider","Bread rolls;Chicken;Ham;Macaroni and cheese;Mashed potatoes;Prime Rib","presents family food","","",NA,"","Female","Under 18","Atheist/agnostic","Never","I am still under 18","Rarely","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",7,"Cookies","Eggnog","Bread rolls;Mashed potatoes;Stuffing/Dressing;Turkey","Nostalgic Joyful Fun","","",NA,"","Female","Under 18","Christianity, other","Never","I am still under 18","I am still under 18","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, and they claimed they were from Santa",7,"Cookies;Pie (any)","","Bread rolls;Macaroni and cheese;Mashed potatoes","Time with family","","",NA,"","Female","55+","Other","Never","Christianity, other","3+ times a month","Southeast"
"Yes","Spend time with family;Exchange gifts with family and/or friends","25th","Never","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Gingerbread","Eggnog","Stuffing/Dressing;Turkey","Comercial traditional busy","","",NA,"","Male","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","Spend time with family;Exchange gifts with family and/or friends","25th","Never","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Gingerbread;Pie (any)","Apple cider;Buttered rum;Eggnog","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","December Twentyfifth Lit","","",NA,"","Male","18-24","Atheist/agnostic","Never","Other","Rarely","Southeast"
"Yes","Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, and they claimed they were from Santa",13,"Cookies;Gingerbread;Pie (any);Pie (pumpkin)","Apple cider;Eggnog","Bread rolls;Chicken;Ham;Mashed potatoes","Jesus Family Commerce","","",NA,"","Male","18-24","Other","Rarely","Atheist/agnostic","Rarely","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Not anymore","Yes, and they claimed they were from Santa",17,"Candy Canes;Cookies","","Mashed potatoes;Turkey","Gifts Music Santa","","",NA,"","Male","18-24","Christianity, non-Evangelical Protestant","Never","Christianity, non-Evangelical Protestant","Rarely","I do not live in the United States"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",7,"Christmas cake/fruit cake","Champagne;Wine","Bread rolls;Chicken;Ham;Stuffing/Dressing;Turkey","Presents food drunk","","",NA,"","Female","35-44","Atheist/agnostic","Rarely","Christianity, non-Evangelical Protestant","1-2 times a month","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, and they claimed they were from Santa",6,"","","Chicken;Mashed potatoes","family evening meal","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends","24th","Not anymore","Yes, and they claimed they were from Santa",10,"Cookies","Wine","Ham","Coquito family joyful","","",NA,"","Male","18-24","Christianity, Catholic","Never","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, and they claimed they were from Santa",5,"Cookies;Gingerbread","","Fish","white joyful merry","","",NA,"","Male","Under 18","Atheist/agnostic","Never","I am still under 18","I am still under 18","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (apple);Pie (pumpkin)","Eggnog","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","Jesus is king","","",NA,"","Female","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, and they claimed they were from Santa",11,"Candy Canes;Cookies;Pie (any)","","Ham;Macaroni and cheese;Mashed potatoes","Best holiday ever","","",NA,"","Female","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","1-2 times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Not anymore","Yes, and they claimed they were from Santa",14,"Candy Canes;Cookies;Gingerbread;Pie (any)","Apple cider","Bread rolls;Ham;Mashed potatoes;Turkey","Family spirit joy","","",NA,"","Female","18-24","Atheist/agnostic","Never","Christianity, Catholic","1-2 times a month","West"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Not anymore","Yes, and they claimed they were from Santa",8,"Candy Canes;Cookies","Wine","Bread rolls;Chicken;Stuffing/Dressing;Turkey","Fun exhausting worth","","",NA,"","Male","25-34","Atheist/agnostic","Rarely","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, and they claimed they were from Santa",9,"Cookies;Pie (any)","Eggnog;Wine","Bread rolls;Ham;Mashed potatoes;Prime Rib","Birth of Jesus","","",NA,"","Male","55+","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Northeast"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",NA,"Candy Canes;Cookies;Pie (any)","","Bread rolls;Ham;Turkey","Lord jesus christ","","",NA,"","Male","35-44","Christianity, other","3+ times a month","Christianity, other","3+ times a month","Southeast"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","24th","Always/almost always","Yes, and they claimed they were from Santa",8,"Cookies","Apple cider","Bread rolls;Chicken;Ham;Mashed potatoes;Prime Rib;Turkey","Family God Love","","",NA,"","Male","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",11,"Cookies;Gingerbread;Pie (any)","Apple cider;Wine","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","Festive lively drunk","","",NA,"","Male","18-24","Christianity, Catholic","Rarely","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",NA,"Candy Canes;Cookies","","Bread rolls;Chicken","Happy loving joyful","","",NA,"","Male","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"No","","","","",NA,"","","","","Spend time with family;Spend time with friends;Exchange gifts with family and/or friends","Yes, and they claimed they were from Santa",7,"Solstice celebration cold","Male","45-54","Atheist/agnostic","Never","Christianity, non-Evangelical Protestant","3+ times a month","West"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",6,"Candy Canes;Cookies;Pie (any);Pie (pumpkin);Pie (pecan)","","Ham;Mashed potatoes","bittersweet family gifts","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","Rarely","Northeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Sometimes","Yes, but they didn't say they were from Santa",NA,"Gingerbread;Pie (any)","Apple cider","Ham;Prime Rib","Family presents food","","",NA,"","Male","25-34","Christianity, other","1-2 times a month","Christianity, Evangelical","1-2 times a month","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, and they claimed they were from Santa",6,"Cookies;Gingerbread;Pie (any)","Apple cider;Eggnog;Wine","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing","Christmas is giving","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","Rarely","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",12,"Cookies;Gingerbread;Pie (any)","Eggnog","Bread rolls;Ham;Mashed potatoes;Prime Rib","time for family","","",NA,"","Female","45-54","Christianity, non-Evangelical Protestant","Rarely","Christianity, non-Evangelical Protestant","1-2 times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",10,"Cookies;Pie (any)","","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","Magic excitement tradition","","",NA,"","Female","35-44","Other","Rarely","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Cookies","Eggnog;Wine","","Travel decorations presents","","",NA,"","Female","35-44","Christianity, other","3+ times a month","Christianity, Evangelical","3+ times a month","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",8,"Cookies;Pie (any);Pie (apple)","Eggnog;Wine","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","stressful enjoyable loving","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","Rarely","Midwest"
"Yes","Spend time with family","24th","Not anymore","Yes, and they claimed they were from Santa",9,"Pie (pumpkin);Pie (pecan);Pie (sweet potato)","Apple cider;Eggnog","Ham;Mashed potatoes;Prime Rib","Good family time","","",NA,"","Male","25-34","Other","Never","Other","Rarely","West"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, and they claimed they were from Santa",7,"Candy Canes;Cookies;Pie (any);Pie (apple)","Apple cider","Bread rolls;Chicken;Ham;Turkey","Family Happiness Peace","","",NA,"","Male","Under 18","Other","3+ times a month","I am still under 18","I am still under 18","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies;Gingerbread","Champagne;Eggnog;Wine","Bread rolls;Fish;Ham;Prime Rib","Happy family time","","",NA,"","Female","55+","Christianity, other","Rarely","Christianity, Catholic","1-2 times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",19,"Candy Canes;Cookies;Gingerbread;Pie (any);Pie (pecan)","","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Prime Rib;Stuffing/Dressing;Turkey","Jesus Family Love","","",NA,"","Female","18-24","Christianity, other","3+ times a month","Christianity, other","3+ times a month","Midwest"
"No","","","","",NA,"","","","","Spend time with family","No",NA,"Ho ho ho","Male","35-44","Judaism","Never","Judaism","Never","West"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Pie (sweet potato)","Apple cider;Eggnog;Wine","Bread rolls;Mashed potatoes;Prime Rib","Family communion joy","","",NA,"","Male","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Southeast"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Cookies;Gingerbread;Pie (any)","Wine","Bread rolls;Chicken;Ham;Macaroni and cheese;Mashed potatoes;Prime Rib;Stuffing/Dressing;Turkey","birth baby jesus","","",NA,"","Female","25-34","Christianity, Catholic","Rarely","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",9,"Candy Canes;Christmas cake/fruit cake;Gingerbread;Pie (any);Pie (apple)","Apple cider;Champagne","Ham;Stuffing/Dressing;Turkey","friendly exciting busy","","",NA,"","Female","Under 18","Atheist/agnostic","Never","I am still under 18","I am still under 18","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","24th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Cookies;Gingerbread;Pie (apple);Pie (pumpkin);Pie (sweet potato)","Apple cider","Bread rolls;Chicken;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","Jesus Serve Love","","",NA,"","Female","18-24","Christianity, other","3+ times a month","Christianity, other","3+ times a month","Northeast"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Not anymore","Yes, but they didn't say they were from Santa",NA,"Cookies","Apple cider;Eggnog;Wine","Chicken;Mashed potatoes","Beautiful Expensive Nostalgic","","",NA,"","Female","18-24","Other","Rarely","Christianity, other","3+ times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;Order food from a restaurant;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",12,"Candy Canes;Cookies","Wine","Bread rolls;Ham","sleep anxiety disappointment","","",NA,"","Male","35-44","Other","Never","Christianity, Catholic","Rarely","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",7,"Candy Canes;Cookies;Pie (pecan)","Wine","Bread rolls;Ham;Stuffing/Dressing","toasty traditional giving","","",NA,"","Male","25-34","Atheist/agnostic","Never","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",8,"","Eggnog","","Alright I guess","","",NA,"","Male","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","Southwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Not anymore","Yes, but they didn't say they were from Santa",NA,"Cookies","","Bread rolls;Ham","Cozy tasty spices","","",NA,"","Female","25-34","Atheist/agnostic","Never","Christianity, non-Evangelical Protestant","3+ times a month","Northeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, but they didn't say they were from Santa",NA,"Cookies;Gingerbread;Pie (any)","","Bread rolls;Mashed potatoes","Celebrating Christs Birth","","",NA,"","Male","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",6,"Candy Canes;Christmas cake/fruit cake;Cookies;Pie (any);Pie (apple);Pie (pumpkin)","","Ham;Mashed potatoes","holiday family winter","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","Never","Northeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (apple)","Apple cider","Bread rolls;Chicken;Ham;Mashed potatoes;Stuffing/Dressing","family food JESUS","","",NA,"","Female","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Not anymore","Yes, and they claimed they were from Santa",7,"Candy Canes;Cookies;Gingerbread;Pie (any);Pie (apple);Pie (pumpkin)","","Bread rolls;Ham;Mashed potatoes;Prime Rib;Stuffing/Dressing;Turkey","family merry food","","",NA,"","Male","25-34","Atheist/agnostic","Never","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Cookies","Wine","Bread rolls;Mashed potatoes;Prime Rib","Family Jesus love","","",NA,"","Female","45-54","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Spend time with family;See a movie in a theater;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",10,"Candy Canes;Cookies;Pie (apple)","Buttered rum","Bread rolls;Macaroni and cheese","Exciting joyous chaotic","","",NA,"","Female","45-54","Other","Never","Christianity, non-Evangelical Protestant","1-2 times a month","Southeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",NA,"Cookies","Eggnog","","Fun overdone love","","",NA,"","Female","45-54","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",5,"Cookies","Apple cider","Bread rolls;Ham","Christ is born","","",NA,"","Female","55+","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends","25th","Never","Yes, and they claimed they were from Santa",NA,"Candy Canes;Cookies","","Ham;Mashed potatoes","best when small","","",NA,"","Male","25-34","Atheist/agnostic","Never","Atheist/agnostic","Rarely","Northeast"
"Yes","Spend time with family;Exchange gifts with family and/or friends","25th","Sometimes","Yes, but they didn't say they were from Santa",10,"Pie (any)","Eggnog","Mashed potatoes;Stuffing/Dressing;Turkey","Jesus birth day","","",NA,"","Female","45-54","Christianity, other","Rarely","Christianity, Catholic","3+ times a month","Northeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",NA,"Cookies","Eggnog","","Fun overdone love","","",NA,"","Female","45-54","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",12,"Candy Canes;Gingerbread;Pie (any)","Champagne","Mashed potatoes;Stuffing/Dressing;Turkey","Idk idk idk","","",NA,"","Male","Under 18","Atheist/agnostic","Rarely","I am still under 18","1-2 times a month","I do not live in the United States"
"Yes","Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, and they claimed they were from Santa",5,"Cookies","","Ham;Mashed potatoes","meatballs beetrootsalad DonaldDuck","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",NA,"Cookies","Eggnog","","Fun overdone love","","",NA,"","Female","45-54","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"No","","","","",NA,"","","","","Order food from a restaurant","No",NA,"Violence arguing politics","Male","25-34","Atheist/agnostic","Rarely","Christianity, Catholic","3+ times a month","Northeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Cookies;Gingerbread;Pie (any);Pie (pecan)","Apple cider;Eggnog;Wine","Bread rolls;Mashed potatoes;Stuffing/Dressing;Turkey","Christ is born","","",NA,"","Male","25-34","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Gingerbread;Pie (pumpkin)","Wine","Bread rolls;Chicken;Fish;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","Christ Family Comfort","","",NA,"","Male","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Sometimes","Yes, and they claimed they were from Santa",9,"Pie (any);Pie (pecan)","Apple cider;Buttered rum","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","Stressful expensive cozy","","",NA,"","Male","45-54","Other","Rarely","Christianity, Evangelical","1-2 times a month","West"
"Yes","Spend time with family;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Not anymore","Yes, and they claimed they were from Santa",13,"Cookies;Pie (any)","","Mashed potatoes;Prime Rib","Time for family","","",NA,"","Female","35-44","Christianity, Catholic","Rarely","Christianity, Catholic","3+ times a month","West"
"Yes","Attend religious service;Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Order food from a restaurant;Exchange gifts with family and/or friends","Both are about the same","Not anymore","Yes, and they claimed they were from Santa",5,"Cookies;Pie (any)","Apple cider;Wine","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","Friends family food","","",NA,"","Male","55+","Atheist/agnostic","Rarely","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","No",NA,"Candy Canes;Cookies","Apple cider","Bread rolls;Mashed potatoes;Stuffing/Dressing;Turkey","Lots of fun","","",NA,"","Female","45-54","Other","Never","Atheist/agnostic","Never","West"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, and they claimed they were from Santa",8,"Cookies;Pie (pecan)","Champagne;Eggnog;Wine","Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","Family Magical Jesus","","",NA,"","Female","25-34","Christianity, Evangelical","Rarely","Christianity, Evangelical","3+ times a month","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",7,"Candy Canes;Christmas cake/fruit cake;Cookies;Gingerbread;Pie (any)","Apple cider;Eggnog","Ham;Mashed potatoes;Stuffing/Dressing;Turkey","Survivalists redistribution fair","","",NA,"","Female","55+","Other","Rarely","Christianity, Catholic","3+ times a month","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Wear an ugly sweater","25th","Not anymore","Yes, and they claimed they were from Santa",6,"","Eggnog","Bread rolls;Ham;Macaroni and cheese","Too much money","","",NA,"","Male","55+","Christianity, Catholic","Rarely","Other","Rarely","Southeast"
"No","","","","",NA,"","","","","","Yes, and they claimed they were from Santa",3,"Capitalism tradition cold","Male","25-34","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","Both are about the same","Sometimes","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies","","Bread rolls;Ham;Mashed potatoes","Happy thankful fun","","",NA,"","Female","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Northeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends","Both are about the same","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Cookies","","Chicken","christ is born","","",NA,"","Male","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Northeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",8,"Candy Canes;Cookies;Gingerbread;Pie (any)","Eggnog;Wine","Bread rolls;Mashed potatoes","Dont want to","","",NA,"","Male","18-24","Christianity, Catholic","Rarely","Christianity, Catholic","1-2 times a month","Northeast"
"Yes","Spend time with family","25th","Never","No",NA,"","","","gezellig warm dark","","",NA,"","Other","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",6,"Cookies;Gingerbread;Pie (any)","Eggnog","Bread rolls;Mashed potatoes;Stuffing/Dressing;Turkey","festive bright merry","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","Rarely","West"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",6,"Candy Canes;Cookies;Gingerbread;Pie (any);Pie (pecan)","Champagne;Eggnog;Wine","Ham;Macaroni and cheese;Turkey","Family love raviolis","","",NA,"","Female","25-34","Christianity, Catholic","Rarely","Christianity, Catholic","1-2 times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",0,"Christmas cake/fruit cake","","Stuffing/Dressing","Presents food family","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Not anymore","Yes, but they didn't say they were from Santa",NA,"Christmas cake/fruit cake;Cookies;Gingerbread","Wine","Chicken","Filling boring social","","",NA,"","Other","18-24","Other","Never","Christianity, Catholic","3+ times a month","I do not live in the United States"
